iter	RMSE
0	2.058897173
1	2.044409955
2	2.03180729
3	2.017499381
4	2.013391691
5	2.001744366
6	1.997536889
7	1.987906032
8	1.976720753
9	1.961482289
10	1.95763895
11	1.944216682
12	1.939624005
13	1.936731235
14	1.929661673
15	1.922299332
16	1.915590603
17	1.911939062
18	1.906246192
19	1.89656914
20	1.888473125
21	1.881560588
22	1.874020761
23	1.871056964
24	1.863728587
25	1.861051542
26	1.855223331
27	1.848932595
28	1.844428238
29	1.835909178
30	1.832884339
31	1.830412095
32	1.827997975
33	1.824383514
34	1.822147384
35	1.814981232
36	1.809848132
37	1.807577459
38	1.802757986
39	1.792595431
40	1.790562558
41	1.788505215
42	1.785590304
43	1.777493485
44	1.770776443
45	1.764931382
46	1.760142388
47	1.755254934
48	1.748617285
49	1.744971314
50	1.743226711
51	1.74274345
52	1.736801019
53	1.732071984
54	1.727728545
55	1.72614714
56	1.719057025
57	1.714501659
58	1.710996838
59	1.706686147
60	1.70240641
61	1.700661809
62	1.69612412
63	1.69267964
64	1.69111428
65	1.679451145
66	1.675849178
67	1.674299982
68	1.672532361
69	1.668672658
70	1.666501766
71	1.663870326
72	1.661280455
73	1.65765551
74	1.652707427
75	1.646912273
76	1.644711675
77	1.643403531
78	1.642197489
79	1.63764397
80	1.632760109
81	1.630952851
82	1.629814098
83	1.627921417
84	1.626535204
85	1.6250167
86	1.620084978
87	1.618799464
88	1.616567844
89	1.609555514
90	1.606496512
91	1.604402624
92	1.600537583
93	1.595433694
94	1.591436661
95	1.588358644
96	1.584465386
97	1.581543927
98	1.578528448
99	1.57769498
100	1.571091284
101	1.569781588
102	1.569010986
103	1.564219116
104	1.563411748
105	1.562159199
106	1.555848394
107	1.554274766
108	1.553019637
109	1.54607064
110	1.54527728
111	1.54463971
112	1.543462893
113	1.542530596
114	1.541699369
115	1.537672393
116	1.534113043
117	1.531284033
118	1.529938687
119	1.522152609
120	1.518571289
121	1.516514704
122	1.512661594
123	1.510291426
124	1.509483297
125	1.507722789
126	1.506286455
127	1.504203662
128	1.50302775
129	1.50209845
130	1.500081157
131	1.499020581
132	1.49595416
133	1.495261458
134	1.49449677
135	1.490076842
136	1.488175871
137	1.485760281
138	1.484704703
139	1.483101094
140	1.482318387
141	1.48074474
142	1.478612156
143	1.477887656
144	1.476622677
145	1.475414257
146	1.47458307
147	1.471615682
148	1.470924269
149	1.468036197
150	1.467378147
151	1.466703238
152	1.465311871
153	1.464702927
154	1.462555251
155	1.461495478
156	1.456105981
157	1.45553517
158	1.454868881
159	1.454332881
160	1.451228376
161	1.450251595
162	1.4483979
163	1.447877884
164	1.445267996
165	1.444051928
166	1.44353585
167	1.442903703
168	1.431574589
169	1.429431764
170	1.428213222
171	1.427333702
172	1.426367096
173	1.425888399
174	1.423056409
175	1.41949578
176	1.417407432
177	1.414766811
178	1.411342038
179	1.40801105
180	1.405468212
181	1.399696711
182	1.399103951
183	1.394879753
184	1.388879501
185	1.387925732
186	1.383317461
187	1.382260742
188	1.379898803
189	1.379117855
190	1.377034482
191	1.371486586
192	1.366273425
193	1.361695025
194	1.351791681
195	1.349977921
196	1.347703912
197	1.34717294
198	1.337588734
199	1.334987526
200	1.334004711
201	1.327404493
202	1.325383675
203	1.322399709
204	1.317615304
205	1.315239197
206	1.312666614
207	1.310750752
208	1.309685575
209	1.30920439
210	1.304602578
211	1.30414167
212	1.302852077
213	1.302051558
214	1.297527515
215	1.294607479
216	1.290357637
217	1.281859708
218	1.280563578
219	1.279844127
220	1.27737291
221	1.271620923
222	1.267471797
223	1.259801494
224	1.257840052
225	1.253646257
226	1.251773157
227	1.249377808
228	1.24710999
229	1.244518422
230	1.241133884
231	1.234153711
232	1.233727715
233	1.231944005
234	1.231576544
235	1.227707594
236	1.223595102
237	1.221890741
238	1.219904608
239	1.217888065
240	1.217179415
241	1.213276707
242	1.209193764
243	1.204408645
244	1.199459545
245	1.195725968
246	1.195058659
247	1.194243944
248	1.187854887
249	1.186544772
250	1.183055507
251	1.182383849
252	1.181874837
253	1.181383894
254	1.180411007
255	1.178587072
256	1.17599067
257	1.171844119
258	1.170285357
259	1.166980553
260	1.166746284
261	1.163423931
262	1.161388284
263	1.158347632
264	1.155446431
265	1.154374358
266	1.150320103
267	1.149844568
268	1.146446031
269	1.142695766
270	1.138214235
271	1.136870484
272	1.13657427
273	1.136112104
274	1.133020914
275	1.131805493
276	1.130981909
277	1.130453565
278	1.129331584
279	1.129062347
280	1.127561579
281	1.12458167
282	1.123276279
283	1.121684
284	1.118520277
285	1.11637581
286	1.115304258
287	1.112383931
288	1.111940637
289	1.106232973
290	1.105247755
291	1.103466306
292	1.100603695
293	1.100189177
294	1.094676873
295	1.094026624
296	1.093753643
297	1.092042032
