iter	Passed	Remaining
0	135	67568
1	135	33781
2	135	22522
3	136	16883
4	136	13496
5	136	11254
6	136	9645
7	137	8434
8	137	7509
9	137	6760
10	138	6170
11	140	5706
12	141	5283
13	141	4917
14	142	4596
15	142	4316
16	143	4071
17	143	3851
18	144	3653
19	144	3476
20	145	3315
21	145	3162
22	145	3023
23	145	2894
24	146	2776
25	146	2666
26	147	2580
27	147	2488
28	147	2401
29	148	2319
30	148	2242
31	148	2170
32	148	2102
33	148	2038
34	148	1978
35	149	1924
36	149	1870
37	149	1819
38	149	1770
39	149	1724
40	150	1680
41	150	1638
42	150	1599
43	150	1560
44	150	1524
45	150	1489
46	151	1456
47	151	1424
48	151	1393
49	151	1364
50	151	1335
51	151	1308
52	152	1282
53	152	1257
54	152	1233
55	152	1209
56	152	1186
57	152	1165
58	153	1143
59	153	1123
60	153	1103
61	153	1084
62	153	1065
63	153	1047
64	153	1030
65	154	1013
66	154	996
67	154	980
68	154	965
69	154	949
70	154	935
71	154	921
72	155	907
73	155	893
74	155	880
75	155	867
76	155	855
77	155	843
78	156	831
79	156	820
80	156	809
81	156	798
82	156	787
83	156	777
84	157	767
85	157	756
86	157	747
87	157	737
88	157	728
89	157	719
90	157	710
91	158	701
92	158	692
93	158	684
94	158	676
95	158	668
96	158	660
97	159	652
98	159	644
99	159	637
100	159	630
101	159	622
102	159	615
103	159	608
104	160	602
105	160	595
106	160	588
107	160	582
108	160	576
109	160	570
110	160	564
111	161	558
112	161	552
113	161	547
114	161	542
115	162	536
116	162	531
117	162	526
118	162	521
119	162	515
120	163	510
121	163	505
122	163	501
123	163	496
124	164	492
125	164	487
126	164	482
127	164	478
128	164	473
129	164	469
130	165	465
131	165	461
132	165	456
133	165	452
134	165	448
135	166	444
136	166	440
137	166	436
138	166	432
139	166	428
140	166	424
141	166	420
142	167	417
143	167	413
144	167	409
145	167	406
146	167	402
147	167	399
148	168	396
149	168	393
150	168	389
151	168	386
152	169	383
153	169	380
154	169	377
155	169	374
156	169	370
157	169	367
158	170	364
159	170	361
160	170	358
161	170	355
162	170	352
163	170	350
164	171	347
165	171	344
166	171	341
167	171	338
168	171	336
169	171	333
170	171	330
171	172	328
172	172	325
173	172	323
174	172	321
175	173	318
176	173	316
177	173	313
178	173	311
179	173	308
180	173	306
181	173	303
182	174	301
183	174	299
184	174	297
185	174	294
186	174	292
187	174	290
188	175	288
189	175	285
190	175	283
191	175	281
192	175	279
193	175	277
194	175	275
195	176	273
196	176	271
197	176	269
198	177	267
199	177	265
200	177	264
201	177	262
202	178	260
203	178	258
204	178	256
205	178	254
206	178	253
207	179	251
208	179	249
209	179	247
210	179	246
211	179	244
212	180	242
213	180	240
214	180	239
215	180	237
216	180	235
217	180	234
218	181	232
219	181	230
220	181	229
221	181	227
222	181	225
223	182	224
224	182	222
225	182	221
226	182	219
227	182	218
228	182	216
229	183	214
230	183	213
231	183	211
232	183	210
233	183	209
234	184	207
235	184	206
236	184	204
237	184	203
238	184	201
239	184	200
240	185	198
241	185	197
242	185	196
243	185	194
244	185	193
245	185	191
246	186	190
247	186	189
248	186	187
249	186	186
250	186	185
251	186	183
252	187	182
253	187	181
254	187	180
255	187	178
256	187	177
257	188	176
258	188	175
259	188	173
260	188	172
261	188	171
262	188	170
263	189	169
264	189	167
265	189	166
266	189	165
267	189	164
268	190	163
269	190	162
270	190	160
271	190	159
272	190	158
273	191	157
274	191	156
275	192	155
276	192	154
277	192	153
278	192	152
279	192	151
280	193	150
281	193	149
282	193	148
283	193	147
284	193	146
285	194	145
286	194	144
287	194	143
288	194	142
289	194	141
290	195	140
291	195	139
292	195	138
293	195	137
294	195	136
295	195	135
296	196	134
297	196	133
298	196	132
299	196	131
300	196	130
301	197	129
302	197	128
303	197	127
304	197	126
305	197	125
306	198	124
307	198	123
308	198	122
309	198	121
310	198	120
311	198	119
312	199	118
313	199	118
314	199	117
315	199	116
316	199	115
317	200	114
318	200	113
319	200	112
320	200	111
321	200	110
322	200	110
323	201	109
324	201	108
325	201	107
326	201	106
327	201	105
328	201	104
329	202	104
330	202	103
331	202	102
332	202	101
333	203	100
334	203	100
335	203	99
336	203	98
337	204	97
338	204	96
339	204	96
340	204	95
341	204	94
342	204	93
343	205	92
344	205	92
345	205	91
346	206	90
347	206	90
348	206	89
349	206	88
350	207	87
351	207	87
352	207	86
353	207	85
354	208	85
355	208	84
356	208	83
