Date,LWSC,Runoff,P,E,Area,Runoff m3
2000/4/1,1.926997249,117.009,8.475,41.67513184,574.36,17515460.09
2000/5/1,-1.010727396,103.969,36.575,59.62810547,572.22,20331870.45
2000/6/1,4.322886134,402.709,64.6125,89.64378906,581.3727,34651788.74
2000/7/1,1.189919209,578.273,56.5875,60.92105469,583.8921,39717410.81
2000/8/1,-2.820648673,581.212,43.6375,94.86246094,577.92,19000290.38
2000/9/1,-2.489041546,964.714,37.2,51.26816406,572.65,21430927.77
2000/10/1,2.602395325,1086.924,8.2625,12.49794189,578.16,2746149.416
2000/11/1,-3.726494047,546.212,4.675,1.985502777,570.27,2107962.9
2000/12/1,-0.137865027,640.182,3.1625,0.258264656,569.9781,2052773.049
2001/1/1,-4.551301279,144.814,1.55,1.289614716,560.3418,1829768.717
2001/2/1,7.279581695,127.251,2.4875,10.12146179,575.7543,1551276.873
2001/3/1,-2.631631261,125.507,3.8375,12.33668457,570.1824,2472494.399
2001/4/1,4.811689251,112.498,15.875,70.92825195,580.37,30936246
2001/5/1,-3.367536463,96.167,13.525,86.41505859,573.24,15721990.27
2001/6/1,4.325578181,114.944,23.1375,61.71180176,582.3984,9859433.13
2001/7/1,-1.302988664,962.953,48.8375,82.10199219,579.6396,33911080.11
2001/8/1,1.60039843,523.207,72.7125,67.83804199,583.0281,51742486.39
2001/9/1,-2.337005823,275.484,57.675,59.94221191,578.08,33003040.62
2001/10/1,1.865597481,938.347,10.025,16.88240723,582.03,4472874.7
2001/11/1,-2.780408072,1437.269,7.25,2.542315521,576.1431,2449185.345
2001/12/1,1.571304517,973.005,5.1125,0.106711864,579.47,2335971.367
2002/1/1,0.97294314,198.231,5.2125,3.690970459,581.53,2221282.197
2002/2/1,3.721769801,147.965,3.2125,12.47759399,589.41,1812993.255
2002/3/1,0.8879286,143.215,6.0375,28.50909668,591.29,2553919.263
2002/4/1,-1.16186437,137.389,29.9625,41.1048291,588.83,28632489.18
2002/5/1,-10.51409857,112.534,45.025,74.35575195,566.57,18944820.3
2002/6/1,1.777985059,128.376,69.8375,91.26401367,570.3345,29963648.51
2002/7/1,7.220483866,846.473,78.2,82.45699219,585.6219,47279969.28
2002/8/1,-2.123665081,567.867,41.7625,57.15089355,581.1255,31780551.6
2002/9/1,3.50049153,849.916,49.8625,42.08362305,588.537,36085665.55
2002/10/1,1.097961745,1320.347,2.0125,16.56848145,590.8617,3536470.217
2002/11/1,-4.462879492,904.298,1.475,1.883072205,581.4126,2686416.088
2002/12/1,-2.564043842,1072.078,8.1,0.568070564,575.9838,2619666.207
2003/1/1,2.162441487,184.36,1.35,2.833997192,580.5623,2396758.189
2003/2/1,-1.594022342,161.271,6.2625,13.44141357,577.1873,2144371.017
2003/3/1,-1.708461733,159.742,9.1875,24.45614258,573.57,22055853.04
2003/4/1,5.039536314,147.215,7.1125,40.17676758,584.24,12376662.2
2003/5/1,-5.596879548,128.448,26.25,63.07015137,572.39,10389716.74
2003/6/1,4.411351142,758.02,54.7625,79.70123535,581.73,20982867.99
2003/7/1,2.20093431,372.162,57.3125,88.00135742,586.39,36358940.17
2003/8/1,2.182041982,316.417,38.2375,72.36397461,591.01,22481681.81
2003/9/1,1.136312758,579.853,18.4125,44.62455566,593.4159,11591662.53
2003/10/1,-1.59232195,1017.768,5.5875,18.47081909,590.0445,3823402.002
2003/11/1,-3.355539063,639.778,13.0875,2.424074402,582.9399,2056003.78
2003/12/1,1.811660207,361.49,0.7875,0.08752264,586.7757,1974376.668
2004/1/1,0.587685796,178.218,8.6375,2.225299377,588.02,1806938.089
2004/2/1,1.039065548,123.904,2.575,11.5,590.22,1497861.337
2004/3/1,-0.004723022,121.271,10.35,27.88820557,590.21,4157334.124
2004/4/1,-2.158426704,111.964,8.5625,29.63413818,585.64,33350032.1
2004/5/1,1.473584745,93.304,40.4,32.01300781,588.76,15026929.32
2004/6/1,-3.169165428,146.712,53.2875,53.42001465,582.05,29920544.36
2004/7/1,1.156102289,1042.921,36.0375,44.08179199,584.4978,24070047.48
2004/8/1,1.677714609,442.953,68.6375,50.68897949,588.05,27084429.11
2004/9/1,0.278658338,852.962,13.8125,34.14776855,588.64,13803458.37
